Name,Mid X,Mid Y,Layer,Rotation
R99,565.35,515.2,Top,0
R100,565.15,521.15,Top,0
R101,465.6,533.9,Top,0
R102,475.6,535.05,Top,0
R103,437.6,427.6,Top,180
R104,447.85,427.9,Top,180
R105,447.9,424.6,Top,0
R106,432.75,431.85,Top,0
R107,427.85,434.95,Top,180
R108,427.9,431.8,Top,180
R109,565.4,512.2,Top,0
R110,565.35,518.05,Top,0
R111,565.45,509.15,Top,0
R112,563.25,473.55,Top,0
PS1,542.3,552.25,Top,0
IC5,513.4,439.65,Top,0
SJ1,571.55,518.7,Top,0
SJ2,571.6,511.95,Top,0
SJ3,571.55,522.05,Top,0
SJ4,571.5,515.2,Top,0
SJ5,571.5,525.1,Top,0
SJ6,571.6,507.6,Top,180
SJ7,559.3,477.4,Top,180
D1,441.7,514.8,Top,270
D2,482.1,530.5,Top,270
D3,485.65,561.3,Top,180
IC6,531.67,478.11,Top,0
L2,482.3,551.1,Top,0
C20,489.65,527.1,Top,270
C21,493.85,527,Top,270
C22,498.15,527,Top,270
C25,502.4,527,Top,270
C32,499.65,480.3,Top,0
J4,550,460.35,Top,0
IC3,478.7,445,Top,180
IC13,477.05,426.9,Top,180
C15,461.9,447.95,Top,0
C18,468.1,447.9,Top,180
C4,451.9,544.3,Top,0
C16,464.85,526.9,Top,0
C31,497.5,552.55,Top,0
X1,514.5,478.8,Top,270
X2,524.4,440.9,Top,270
X4,485.75,426.55,Top,0
LD1,507.1,480.4,Top,0
