Designator,Mid X,Mid Y,Layer,Rotation
R25,466.75,432,Top,180
R26,457.5,477.38,Top,0
R27,457.57,474.61,Top,0
R28,462.05,467.65,Top,0
R29,463.15,455.3,Top,0
R3,454.3,437.13,Top,0
R30,463.2,452.45,Top,180
R31,468.55,427.2,Top,90
R33,469.05,455.4,Top,180
R34,469,452.55,Top,0
R35,472.45,545.8,Top,0
R36,472.8,538.4,Top,0
R37,471.8,443.8,Top,0
R38,478.8,541.2,Top,0
R39,478.85,538.15,Top,0
R4,454.3,433.7,Top,0
R40,502.8,442.65,Top,0
R41,510.63,540.25,Top,180
R42,505.75,540.25,Top,180
R43,480.85,459.35,Top,180
R44,480.9,456.25,Top,180
R45,510.68,531.25,Top,180
R46,505.75,531.3,Top,180
R47,524.3,512.9,Top,0
R48,485.05,459.34,Top,0
R49,485.05,456.25,Top,0
R5,433.05,427.6,Top,180
R50,492.8,448.8,Top,0
R51,499,514.6,Top,0
R52,498.95,511.4,Top,0
R53,499.05,508.15,Top,0
R54,498.95,505,Top,0
R55,499.05,501.85,Top,0
R56,499.1,498.9,Top,0
R57,497.35,448.75,Top,0
R58,502.15,448.75,Top,0
R59,518.65,521.7,Top,180
R6,437.6,427.6,Top,180
R60,535.5,505.85,Top,0
R61,507.95,498.5,Top,0
R62,512.55,498.5,Top,0
R63,518.95,502.75,Top,180
R64,518.45,433.75,Top,180
R66,524.55,502.75,Top,180
R67,524.8,471.65,Top,0
R68,530.55,466.45,Top,180
R69,533.35,434.9,Top,0
R7,447.85,427.9,Top,180
R70,535.4,526.3,Top,0
R71,535.1,521.4,Top,0
R72,535.3,516,Top,0
R73,535.2,510.9,Top,0
R74,535.5,500.6,Top,0
R75,533.6,490.5,Top,180
R76,489,445.65,Top,180
R77,541,484.2,Top,0
R78,541.25,466.95,Top,180
R79,543.1,531.7,Top,0
R8,447.9,424.6,Top,0
R80,545.05,534.63,Top,180
R81,545.3,524.3,Top,180
R82,518.6,524.75,Top,180
R83,454.2,496.55,Top,0
R84,453.4,471.7,Top,0
R85,545.3,521.3,Top,180
R86,545.3,518.3,Top,180
R87,545.4,515.2,Top,180
R88,545.4,512.3,Top,180
R89,545.4,509.2,Top,180
R9,449,537.15,Top,0
R91,553.5,540.25,Top,0
R92,553.55,537.05,Top,0
R93,553,430.6,Top,0
R94,553.1,427.65,Top,0
R95,553.1,424.8,Top,0
R96,555.6,492.9,Top,0
R97,555.6,490.15,Top,0
R98,555.6,484.3,Top,180
R99,555.7,477.75,Top,180
SJ1,470.85,460.45,Top,0
SJ10,440.45,503.25,Top,180
SJ11,440.5,507.65,Top,180
SJ12,524.85,496.25,Top,180
SJ2,475.45,458.9,Top,0
SJ3,559.3,477.4,Top,180
SJ4,511.63,538,Top,270
SJ5,506.75,537.88,Top,270
SJ6,522.5,431.88,Top,0
SWPROG,484.56,515.05,Top,180
SWPROG1,557.99,466.55,Top,0
TR1,540.1,525.4,Top,180
TR10,571.75,513.75,Top,0
TR11,571.7,508.45,Top,0
TR12,571.65,503.35,Top,0
TR13,571.65,498.05,Top,0
TR14,570.7,492.5,Top,0
TR15,570.9,487.4,Top,0
TR2,540.1,520.3,Top,180
TR3,540.1,515.1,Top,180
TR4,540.1,510.1,Top,180
TR5,540.2,504.9,Top,180
TR6,540.2,499.7,Top,180
TR7,563.1,477.7,Top,90
TR8,571.55,524.05,Top,0
TR9,571.55,519.1,Top,0
X1,462.85,503.85,Top,270
X2,485.75,426.55,Top,0
X3,514.5,478.8,Top,270
X4,524.4,440.9,Top,270
